"ENTITY_CD","OVERALL_STATUS"
"010100010000","Target District"
"010100010014","Good Standing"
"010100010016","Good Standing"
"010100010018","Targeted Support and Improvement"
"010100010019","Good Standing"
"010100010023","Good Standing"
"010100010027","Targeted Support and Improvement"
"010100010028","Targeted Support and Improvement"
"010100010029","Comprehensive Support and Improvement"
"010100010030","Good Standing"
"010402060001","Good Standing"
"010402060002","Good Standing"
"010402060003","Good Standing"
"010402060008","Good Standing"
"010500010000","Target District"
"010500010005","Targeted Support and Improvement"
"010500010006","Good Standing"
"010500010007","Good Standing"
"010500010008","Good Standing"
"010500010009","Good Standing"
"010601060000","Good Standing"
"010601060003","Good Standing"
"010601060005","Good Standing"
"010601060006","Good Standing"
"010601060008","Good Standing"
"010601060010","Good Standing"
"010601060011","Good Standing"
"010601060012","Good Standing"
"010601060013","Good Standing"
"010615020000","Good Standing"
"010615020001","Good Standing"
"010623060000","Good Standing"
"010623060002","Good Standing"
"010623060003","Good Standing"
"010623060004","Good Standing"
"010623060006","Good Standing"
"010623060007","Good Standing"
"010623060008","Good Standing"
"010623060009","Good Standing"
"010623060010","Good Standing"
"010701030000","Target District"
"010701030001","Comprehensive Support and Improvement"
"010802060000","Good Standing"
"010802060001","Good Standing"
"010802060003","Good Standing"
"010802060004","Good Standing"
"010802060005","Good Standing"
"010802060007","Good Standing"
"010802060008","Good Standing"
"010802060009","Good Standing"
"011003060000","Good Standing"
"011003060001","Good Standing"
"011003060002","Good Standing"
"011003060003","Good Standing"
"011200010000","Target District"
"011200010002","Good Standing"
"011200010010","Good Standing"
"020101040000","Good Standing"
"020101040001","Good Standing"
"020101040002","Good Standing"
"020601040000","Good Standing"
"020601040001","Good Standing"
"020702040000","Good Standing"
"020702040001","Good Standing"
"020801040000","Good Standing"
"020801040001","Good Standing"
"021102040000","Good Standing"
"021102040001","Good Standing"
"021601040000","Good Standing"
"021601040004","Good Standing"
"022001040000","Good Standing"
"022001040001","Good Standing"
"022101040000","Good Standing"
"022101040001","Good Standing"
"022302040000","Good Standing"
"022302040001","Good Standing"
"022302040002","Good Standing"
