"","ENTITY_CD","ENTITY_NAME","YEAR","ATTENDANCE_RATE"
"1","010100010000","ALBANY CITY SCHOOL DISTRICT",2019,90
"2","010100010014","MONTESSORI MAGNET SCHOOL",2019,95
"3","010100010016","PINE HILLS ELEMENTARY SCHOOL",2019,92
"4","010100010018","DELAWARE COMMUNITY SCHOOL",2019,92
"5","010100010019","NEW SCOTLAND ELEMENTARY SCHOOL",2019,94
"6","010100010020","NORTH ALBANY ACADEMY",2019,91
"7","010100010023","ALBANY SCHOOL OF HUMANITIES",2019,93
"8","010100010027","EAGLE POINT ELEMENTARY SCHOOL",2019,93
"9","010100010028","THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY",2019,94
"10","010100010029","GIFFEN MEMORIAL ELEMENTARY SCHOOL",2019,91
"11","010100010030","WILLIAM S HACKETT MIDDLE SCHOOL",2019,92
"12","010100010034","ALBANY HIGH SCHOOL",2019,85
"13","010100010039","ARBOR HILL ELEMENTARY SCHOOL",2019,90
"14","010100010043","PHILIP J SCHUYLER ACHIEVEMENT ACADEMY",2019,92
"15","010100010044","SHERIDAN PREPARATORY ACADEMY",2019,89
"16","010100010045","STEPHEN AND HARRIET MYERS MIDDLE SCHOOL",2019,92
"17","010100010050","EDMUND J O'NEAL MS OF EXCELLENCE",2019,89
"18","010100860829","BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS",2019,91
"19","010100860830","BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS",2019,90
"20","010100860867","KIPP TECH VALLEY CHARTER SCHOOL",2019,93
"21","010100860892","HENRY JOHNSON CHARTER SCHOOL",2019,92
"22","010100860899","ALBANY COMMUNITY CHARTER SCHOOL",2019,92
"23","010100860907","GREEN TECH HIGH CHARTER SCHOOL",2019,86
"24","010100860960","ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS",2019,89
"25","010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT",2019,95
"26","010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL",2019,95
"27","010201040002","BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL",2019,95
"28","010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT",2019,96
"29","010306060003","ELSMERE ELEMENTARY SCHOOL",2019,96
"30","010306060004","GLENMONT ELEMENTARY SCHOOL",2019,97
"31","010306060005","HAMAGRAEL ELEMENTARY SCHOOL",2019,97
"32","010306060006","SLINGERLANDS ELEMENTARY SCHOOL",2019,97
"33","010306060007","BETHLEHEM CENTRAL MIDDLE SCHOOL",2019,97
"34","010306060008","BETHLEHEM CENTRAL SENIOR HIGH SCHOOL",2019,95
"35","010306060009","EAGLE ELEMENTARY SCHOOL",2019,97
"36","010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT",2019,94
"37","010402060001","RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL",2019,93
"38","010402060002","ALBERTUS W BECKER SCHOOL",2019,96
"39","010402060003","PIETER B COEYMANS SCHOOL",2019,95
"40","010402060008","RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL",2019,94
"41","010500010000","COHOES CITY SCHOOL DISTRICT",2019,92
"42","010500010005","ABRAM LANSING SCHOOL",2019,92
"43","010500010006","VAN SCHAICK ISLAND SCHOOL",2019,94
"44","010500010007","COHOES HIGH SCHOOL",2019,91
"45","010500010008","COHOES MIDDLE SCHOOL",2019,93
"46","010500010009","HARMONY HILL SCHOOL",2019,93
"47","010601060000","SOUTH COLONIE CENTRAL SCHOOL DISTRICT",2019,95
"48","010601060003","ROESSLEVILLE SCHOOL",2019,95
"49","010601060005","SADDLEWOOD ELEMENTARY SCHOOL",2019,96
"50","010601060006","SHAKER ROAD ELEMENTARY SCHOOL",2019,96
"51","010601060008","COLONIE CENTRAL HIGH SCHOOL",2019,93
"52","010601060010","FOREST PARK ELEMENTARY SCHOOL",2019,96
"53","010601060011","VEEDER ELEMENTARY SCHOOL",2019,96
"54","010601060012","SAND CREEK MIDDLE SCHOOL",2019,95
"55","010601060013","LISHA KILL MIDDLE SCHOOL",2019,96
"56","010615020000","MENANDS UNION FREE SCHOOL DISTRICT",2019,95
"57","010615020001","MENANDS SCHOOL",2019,95
