"ENTITY_CD","BOCES_CD","NEEDS_INDEX"
"010100010030","0190","3"
"010100010034","0190","3"
"010100010039","0190","3"
"010100010043","0190","3"
"010100010044","0190","3"
"010100010045","0190","3"
"010100010050","0190","3"
"010100860829","0190","7"
"010100860830","0190","7"
"010100860867","0190","7"
"010100860892","0190","7"
"010100860899","0190","7"
"010100860907","0190","7"
"010100860960","0190","7"
"010201040001","0190","5"
"010201040002","0190","5"
"010306060003","0190","6"
"010306060004","0190","6"
"010306060005","0190","6"
"010306060006","0190","6"
"010306060007","0190","6"
"010306060008","0190","6"
"010306060009","0190","6"
"010402060001","0190","5"
"010402060002","0190","5"
"010402060003","0190","5"
"010402060008","0190","5"
"010500010005","0190","3"
"010500010006","0190","3"
"010500010007","0190","3"
"010500010008","0190","3"
"010500010009","0190","3"
"010601060003","0190","5"
"010601060005","0190","5"
"010601060006","0190","5"
"010601060008","0190","5"
"010601060010","0190","5"
"010601060011","0190","5"
"010601060012","0190","5"
"010601060013","0190","5"
"010615020001","0190","5"
"010623060002","0190","6"
"010623060003","0190","6"
"010623060004","0190","6"
"010623060006","0190","6"
"010623060007","0190","6"
"010623060008","0190","6"
"010623060009","0190","6"
"010623060010","0190","6"
"010701030001","0190","3"
"010802060001","0190","6"
"010802060003","0190","6"
"010802060004","0190","6"
"010802060005","0190","6"
"010802060007","0190","6"
"010802060008","0190","6"
"010802060009","0190","6"
"011003060001","0190","6"
"011003060002","0190","6"
"011003060003","0190","6"
"011200010002","0190","3"
"011200010010","0190","3"
"020101040001","5590","5"
"020101040002","5590","5"
"020601040001","0490","4"
"020702040001","0490","4"
"020801040001","0490","4"
"021102040001","5590","4"
"021601040004","0490","4"
"022001040001","0490","4"
"022101040001","0490","4"
"022302040001","0490","4"
"022302040002","0490","4"
"022302040004","0490","4"
"022401040003","0490","4"
"022601060004","0490","4"
"022601060005","0490","4"
"022902040001","0490","4"
"022902040002","0490","4"
"022902040003","0490","4"
"030101060001","0390","5"
"030101060003","0390","5"
"030101060004","0390","5"
"030200010002","0390","3"
"030200010005","0390","3"
"030200010008","0390","3"
"030200010011","0390","3"
"030200010012","0390","3"
"030200010014","0390","3"
"030200010015","0390","3"
"030200010016","0390","3"
"030200010021","0390","3"
"030200010022","0390","3"
"030501040001","0390","4"
"030501040003","0390","4"
"030601060001","0390","5"
"030601060004","0390","5"
"030601060005","0390","5"
"030601060006","0390","5"
"030701060001","0390","4"
"030701060003","0390","4"
"030701060004","0390","4"
"030701060005","0390","4"
"031101060003","0390","5"
"031101060004","0390","5"
"031101060005","0390","5"
"031101060006","0390","5"
"031301040002","0390","4"
"031301040003","0390","4"
"031401060002","0390","4"
"031401060004","0390","4"
"031401060005","0390","4"
"031501060001","0390","5"
"031501060002","0390","5"
"031501060007","0390","5"
"031501060009","0390","5"
"031501060012","0390","5"
"031501060013","0390","5"
"031501060014","0390","5"
"031502060001","0390","3"
"031502060003","0390","3"
"031502060005","0390","3"
"031502060006","0390","3"
"031601060021","0390","5"
"031601060022","0390","5"
"031601060023","0390","5"
"031601060026","0390","5"
"031601060028","0390","5"
"031601060041","0390","5"
"031601060051","0390","5"
"031701060002","0390","5"
"031701060003","0390","5"
"031701060004","0390","5"
"031701060007","0390","5"
"040204040001","0490","5"
"040302060001","0490","5"
"040302060002","0490","5"
"040901040001","0490","5"
"040901040002","0490","5"
"041101040002","0490","4"
"041101040003","0490","4"
"041401040001","0490","4"
"042302040002","0490","5"
"042302040003","0490","5"
"042302040004","0490","5"
"042400010002","0490","3"
"042400010004","0490","3"
"042400010013","0490","3"
"042400010016","0490","3"
"042801060001","1492","4"
"042801060005","1492","4"
"042801060006","1492","4"
"042901040001","0490","5"
"042901040002","0490","5"
"043001040002","0490","4"
"043001040003","0490","4"
"043011020001","0490","5"
"043011020002","1491","5"
"043200050002","0490","4"
"043200050004","0490","4"
"043200050005","0490","4"
"043501060001","0490","4"
"043501060004","0490","4"
"043501060005","0490","4"
"043501060006","0490","4"
"050100010002","0590","3"
"050100010004","0590","3"
"050100010005","0590","3"
"050100010007","0590","3"
"050100010008","0590","3"
"050100010009","0590","3"
"050100010013","0590","3"
"050301040002","0590","5"
"050301040003","0590","5"
"050401040001","0590","5"
"050401040002","0590","5"
"050401040003","0590","5"
"050701040005","0590","5"
"050701040007","0590","5"
"051101040001","0590","5"
"051101040004","0590","5"
"051301040001","0590","5"
"051301040003","0590","5"
"051901040002","0590","5"
"051901040005","0590","5"
"051901040006","0590","5"
"060201060003","1492","5"
"060201060006","1492","5"
"060201060007","1492","5"
"060301040002","1492","5"
"060301040004","1492","5"
"060401040003","1492","4"
"060401040006","1492","4"
"060503040001","1492","5"
"060503040002","1492","5"
"060601040002","1492","4"
"060601040003","1492","4"
"060701040003","1492","5"
"060800010003","1492","3"
"060800010004","1492","3"
"060800010005","1492","3"
"060800010007","1492","3"
"060800010009","1492","3"
"060800010010","1492","3"
"061001040001","1492","5"
"061001040005","1492","5"
"061101040001","1492","5"
"061101040007","1492","5"
"061101040009","1492","5"
"061501040001","1492","4"
"061501040002","1492","4"
"061501040003","1492","4"
"061503040002","1492","5"
"061503040003","1492","5"
"061601040001","1492","5"
"061601040003","1492","5"
"061700010001","1492","3"
"061700010003","1492","3"
"061700010006","1492","3"
"061700010007","1492","3"
"061700010009","1492","3"
"061700010010","1492","3"
"061700010011","1492","3"
"061700010012","1492","3"
"061700010013","1492","3"
"062201060001","1492","5"
"062201060002","1492","5"
"062201060003","1492","5"
"062301040002","1492","4"
"062301040003","1492","4"
"062401040001","1492","4"
"062601040002","1492","4"
"062601040003","1492","4"
"062901040001","1492","4"
"062901040002","1492","4"
"062901040004","1492","4"
"070600010006","5590","3"
"070600010007","5590","3"
"070600010010","5590","3"
"070600010013","5590","3"
"070600010014","5590","3"
"070600010015","5590","3"
"070600010016","5590","3"
"070600010019","5590","3"
"070600010020","5590","3"
"070600010021","5590","3"
"070600010022","5590","3"
"070600861078","5590","7"
"070901060003","5590","5"
"070901060004","5590","5"
"070901060005","5590","5"
"070901060007","5590","5"
"070901060009","5590","5"
"070901060010","5590","5"
"070901060011","5590","5"
"070902060002","5590","5"
"070902060004","5590","5"
"070902060006","5590","5"
"080101040002","1290","4"
"080101040003","1290","4"
"080201040001","1290","5"
"080201040002","1290","5"
"080201040003","1290","5"
"080601040001","1290","4"
"080601040002","1290","4"
"080601040003","1290","4"
"080601040004","1290","4"
"081003040003","1290","4"
"081003040006","1290","4"
"081200050001","1290","4"
"081200050002","1290","4"
"081200050003","1290","4"
"081200050004","1290","4"
"081401040001","1290","4"
"081501040001","1290","4"
"081501040002","1290","4"
"081501040003","1290","4"
"082001040002","1290","4"
"082001040003","1290","4"
"082001040004","1290","4"
"090201040001","0990","5"
"090201040002","0990","5"
"090201040004","0990","5"
"090201040005","0990","5"
"090301060001","0990","5"
"090301060003","0990","5"
"090301060005","0990","5"
"090301060006","0990","5"
"090501040002","0990","5"
"090501040003","0990","5"
"090501040006","0990","5"
"090501040007","0990","5"
"090601020001","0990","5"
"090601020002","0990","5"
"090901040001","0990","4"
"090901040002","0990","4"
"091101060004","0990","5"
"091101060005","0990","5"
"091200010001","0990","3"
"091200010003","0990","3"
"091200010004","0990","3"
"091200010005","0990","3"
"091200010006","0990","3"
"091402060002","0990","5"
"091402060004","0990","5"
"091402060005","0990","5"
"091402060007","0990","5"
"100308020001","4990","5"
"100308020002","4990","5"
"100501040003","4990","5"
"100501040006","4990","5"
"100902040003","4990","5"
"100902040004","4990","5"
"101001040001","4990","5"
"101001040002","4990","5"
"101001040006","4990","5"
"101300010001","4990","4"
"101300010003","4990","4"
"101300010004","4990","4"
"101401040004","4990","5"
"101401040005","4990","5"
"101401040006","4990","5"
"101601040002","4990","5"
"101601040003","4990","5"
"110101040001","4290","4"
"110101040002","4290","4"
"110101040003","4290","4"
"110200010003","4290","3"
"110200010004","4290","3"
"110200010008","4290","3"
"110200010009","4290","3"
"110200010010","4290","3"
"110200010011","4290","3"
"110200010012","4290","3"
"110304040001","4290","4"
"110304040002","4290","4"
"110701060001","4290","5"
"110701060002","4290","5"
"110701060003","4290","5"
"110701060006","4290","5"
"110901040001","4290","4"
"110901040002","4290","4"
"120102040001","1990","5"
"120301040001","1290","4"
"120401040001","1990","4"
"120501040001","1290","5"
"120501040002","1290","5"
"120701040001","1290","4"
"120906040001","1290","4"
"120906040002","1290","4"
"121401040001","1990","4"
"121502040001","1990","5"
"121601060002","1290","4"
"121601060005","1290","4"
"121601060006","1290","4"
"121701040001","1990","4"
"121702040001","1990","5"
"121901040001","1290","4"
"121901040002","1290","4"
"121901040003","1290","4"
"130200010001","1390","5"
"130200010002","1390","5"
"130200010003","1390","5"
"130200010004","1390","5"
"130200010005","1390","5"
"130200010006","1390","5"
"130502020001","1390","5"
"130502020002","1390","5"
"141201060002","1492","5"
"141201060005","1492","5"
"141301060002","1492","5"
"141301060003","1492","5"
"141301060004","1492","5"
"141301060005","1492","5"
"141301060006","1492","5"
"141301060007","1492","5"
"141401060001","1492","5"
"141401060003","1492","5"
"141401060004","1492","5"
"141401060008","1492","5"
"141401060009","1492","5"
"141501060001","1491","5"
"141501060003","1491","5"
"141501060004","1491","5"
"141501060005","1491","5"
"141501060006","1491","5"
"141601060001","1491","5"
"141601060002","1491","5"
"141601060003","1491","5"
"141601060004","1491","5"
"141601060006","1491","5"
"141601060007","1491","5"
"141604060003","1491","5"
"141604060004","1491","5"
"141604060005","1491","5"
"141604060006","1491","5"
"141604060007","1491","5"
"141604060008","1491","5"
"141701040001","1492","5"
"141701040002","1492","5"
"141701040004","1492","5"
"141800010005","1491","3"
"141800010008","1491","3"
"141800010010","1491","3"
"141800010011","1491","3"
"141800860044","1491","7"
"141901060001","1491","5"
"141901060004","1491","5"
"141901060005","1491","5"
"141901060006","1491","5"
"141901060007","1491","5"
"141901060008","1491","5"
"141901060010","1491","5"
"142101040001","1491","5"
"142101040002","1491","5"
"142101040003","1491","5"
"142201040001","1492","5"
"142201040002","1492","5"
"142301060001","1492","6"
"142301060002","1492","6"
"142301060003","1492","6"
"142301060005","1492","6"
"142301060006","1492","6"
"142301060007","1492","6"
"142500010003","1491","5"
"142500010005","1491","5"
"142500010007","1491","5"
"142500010009","1491","5"
"142601030003","1491","5"
"142601030006","1491","5"
"142601030011","1491","5"
"142601030013","1491","5"
"142601030020","1491","5"
"142601030023","1491","5"
"142601030024","1491","5"
"142601030025","1491","5"
"142601030026","1491","5"
"142601860031","1491","7"
"142801060003","1491","5"
"142801060005","1491","5"
"142801060008","1491","5"
"142801060010","1491","5"
"142801060011","1491","5"
"142801060015","1491","5"
