"","ENTITY_CD","ENTITY_NAME","PER_ELL","PER_AM_IND","PER_BLACK","PER_HISP","PER_ASIAN","PER_WHITE","PER_Multi","PER_SWD","PER_FEMALE","PER_MALE","PER_ECDIS","PER_MIGRANT","PER_HOMELESS","PER_FOSTER","PER_ARMED"
"1","000000000001","NYC Public Schools",15,1,22,41,18,16,1,23,48,52,74,0,8,0,0
"2","000000000002","Large Cities",16,1,42,31,7,17,3,21,49,51,84,0,2,0,0
"3","000000000003","High Need/Resource Urban-Suburban Districts",16,0,23,41,4,27,4,15,48,52,76,0,3,0,0
"4","000000000004","High Need/Resource Rural Districts",1,2,3,8,1,83,3,16,49,51,60,1,1,0,3
"5","000000000005","Average Need Districts",4,0,6,15,4,71,3,15,49,51,41,0,1,0,0
"6","000000000006","Low Need Districts",3,0,4,13,11,69,3,14,49,51,17,0,0,0,0
"7","000000000007","Charter Schools",7,1,53,36,3,6,2,17,51,49,81,0,7,0,0
"8","331400010050","JHS 50 JOHN D WELLS",18,1,21,75,1,2,0,32,39,61,91,0,11,0,0
"9","331400010059","PS 59 WILLIAM FLOYD",9,2,54,41,2,1,0,32,48,52,95,0,14,0,0
"10","331400010084","PS 84 JOSE DE DIEGO",13,0,6,62,3,23,6,19,48,52,52,0,10,0,0
"11","331400010110","PS 110 THE MONITOR",8,0,2,19,6,72,1,11,47,53,27,0,1,0,0
"12","331400010120","PS 120 CARLOS TAPIA",18,0,20,75,1,3,1,26,50,50,87,0,25,0,0
"13","331400010126","JOHN ERICSSON MIDDLE SCHOOL 126",9,0,22,68,1,9,0,27,39,61,86,0,10,0,0
"14","331400010132","PS 132 CONSELYEA SCHOOL (THE)",7,1,15,33,7,42,2,15,50,50,43,0,3,0,0
"15","331400010147","PS 147 ISSAC REMSEN",15,0,18,61,4,10,6,22,52,48,76,0,12,0,0
"16","331400010157","PS/IS 157 BENJAMIN FRANKLIN HEATH AND SCIENCE (THE)",16,0,18,79,0,2,0,31,48,52,85,0,4,0,0
"17","331400010196","PS 196 TEN EYCK",11,0,21,75,1,2,1,28,54,46,88,0,19,0,0
"18","331400010250","PS 250 GEORGE H LINDSEY",12,0,13,68,18,1,0,18,48,52,82,0,15,0,0
"19","331400010257","PS 257 JOHN F HYLAN",14,0,22,76,1,1,0,29,51,49,84,0,4,0,0
"20","331400010297","PS 297 ABRAHAM STOCKTON",14,3,39,57,0,1,1,26,50,50,86,0,28,0,0
"21","331400010318","IS 318 EUGENO MARIA DE HOSTOS",5,0,17,57,8,18,0,20,49,51,64,0,5,0,0
"22","331400010319","PS 319",34,0,4,91,0,5,0,16,53,47,83,0,4,0,3
