"ENTITY_CD","PUPIL_COUNT_TOT","PER_FEDERAL_EXP","PER_STATE_LOCAL_EXP"
"010201040001",347,437,18507
"010201040002",408,510,10873
"010306060000",4440,259,16405
"010306060003",279,283,13494
"010306060004",366,305,12648
"010306060005",314,396,13660
"010306060006",469,249,10646
"010306060007",1035,306,12007
"010306060008",1559,120,11359
"010306060009",418,307,10409
"010402060000",1875,515,18440
"010402060001",557,357,13266
"010402060002",429,831,12229
"010402060003",468,665,11520
"010402060008",415,239,14180
"010500010000",2019,1056,15409
"010500010005",384,1772,10082
"010500010006",175,1773,15746
"010500010007",539,391,15166
"010500010008",407,899,14017
"010500010009",370,1118,11108
"010601060000",4780,372,17886
"010601060003",400,980,11322
"010601060005",396,139,12211
"010601060006",341,251,12398
"010601060008",1510,131,15158
"010100010000",9807,1170,19581
"010100010014",317,500,13520
"010100010016",369,700,11849
"010100010018",419,296,12270
"010100010019",468,103,13662
"010100010020",246,662,23528
"010100010023",500,308,13957
"010100010027",309,567,13330
"010100010028",437,1078,10839
"010100010029",521,1009,12662
"010100010030",690,307,13989
"010100010034",2548,309,12962
"010100010039",283,2099,17696
"010100010043",270,1953,16899
"010100010044",324,1217,13383
"010100010045",673,382,13379
"010100010050",500,596,15344
"010100860829",324,539,14339
"010100860830",322,519,14237
"010100860867",604,1515,14460
"010100860892",333,499,17566
"010100860899",647,553,15199
"010100860907",338,453,14473
"010100860960",353,814,14923
"010201040000",755,476,20138
"010601060010",298,225,18707
"010601060011",432,113,12801
"010601060012",796,397,14968
"010601060013",607,259,15211
"010615020000",296,643,16945
"010615020001",296,574,11735
"010623060000",5831,402,16105
"010623060002",487,881,11740
"010623060003",579,225,10148
"010623060004",534,585,10619
"010623060006",541,147,10197
"010623060007",335,255,11464
"010623060008",446,195,14915
"010623060009",886,215,13598
"010623060010",2023,190,12717
"010701030000",284,704,19560
"010701030001",267,749,13946
"010802060000",4807,303,17478
"010802060001",284,425,15305
"010802060003",545,129,11781
"010802060004",505,518,11322
"010802060005",1524,425,15047
"010802060007",404,457,12522
"010802060008",1088,149,14325
"010802060009",457,20,12041
"011003060000",1160,873,18997
"011003060001",527,649,12645
"011003060002",360,205,18801
"011003060003",273,317,11686
"011200010000",1342,660,12207
"011200010002",704,0,6971
"011200010010",567,0,9862
"020101040000",622,817,17592
"020101040001",333,943,9340
"020101040002",289,167,15630
"020601040000",302,1526,23574
"020601040001",302,1526,15724
"020702040000",506,960,24120
"020702040001",506,670,15474
"020801040000",336,1001,22351
"020801040001",336,1001,15561
"021102040000",238,2180,20553
"021102040001",238,1090,14084
"021601040000",314,1759,6569
"021601040004",314,1759,6569
"022001040000",682,1039,15581
"022001040001",682,1039,10713
"022101040000",196,1094,23431
"022101040001",196,862,16251
"022302040000",817,1080,19866
"022302040001",259,842,12454
"022302040002",392,1101,11000
"022302040004",166,1404,14316
"022401040000",334,954,23839
"022401040003",334,820,16673
"022601060000",1183,1080,17715
"022601060004",659,497,13266
"022601060005",524,1564,12105
"022902040000",752,1175,20883
"022902040001",391,576,15841
"022902040002",347,651,14652
"022902040003",14,14325,6275
"030101060000",1453,605,17136
"030101060001",634,689,10878
"030101060003",466,264,11913
"030101060004",353,798,10325
"030200010000",5366,1408,18127
"030200010002",341,1613,13455
"030200010005",456,1275,13480
"030200010008",295,1528,13795
"030200010011",473,1208,12699
"030200010012",373,1641,15637
"030200010014",388,1601,14154
"030200010015",557,1431,14884
"030200010016",608,1014,14300
"030200010021",1440,1055,12410
"030200010022",239,2254,17208
"030501040000",711,1173,18290
"030501040001",353,1655,10905
"030501040003",358,664,13102
"030601060000",1414,685,21012
"030601060001",383,685,11266
"030601060004",289,723,11245
"030601060005",324,312,14364
"030601060006",418,845,14184
"030701060000",1765,531,16838
"030701060001",494,471,11847
"030701060003",384,502,10611
"030701060004",488,869,9638
"030701060005",391,210,10247
"031101060000",2507,468,15202
"031101060003",747,143,10437
"031101060004",441,1059,11040
"031101060005",536,526,10861
"031101060006",748,425,9907
"031301040000",491,946,24783
"031301040002",222,1209,15393
"031301040003",269,405,16146
"031401060000",1490,617,17409
"031401060002",546,816,12695
"031401060004",391,254,13814
"031401060005",459,764,11422
"031501060000",3799,725,16602
"031501060001",437,1482,8625
"031501060002",557,131,9895
"031501060007",76,1167,16539
"031501060009",807,843,11903
"031501060012",1109,470,11990
"031501060013",301,920,11249
"031501060014",363,907,10589
"031502060000",2469,861,16392
"031502060001",516,669,11417
"031502060003",538,578,12017
"031502060005",573,902,11937
"031502060006",750,624,13399
"332000010160",1276,1018,13782
"332000010163",605,1253,15409
"332000010164",680,1712,15077
"332000010170",1018,1257,13606
"332000010176",1295,1024,12319
"332000010179",818,1987,16358
"332000010180",1074,1219,15522
"332000010185",635,280,13518
"332000010186",1057,886,13311
"332000010187",952,370,12461
"332000010192",645,1143,15819
"332000010200",1353,927,11980
"332000010201",1652,700,10980
"332000010204",1108,1044,13571
"332000010205",1307,1085,14647
"332000010220",1526,1062,13340
"332000010223",936,1205,14015
"332000010227",1620,917,12316
"332000010229",1242,198,11883
"332000010247",868,1033,14322
"332000010259",1886,954,11207
"332000010264",463,885,16275
"332000010310",407,1188,15194
"332000010503",992,1587,17193
"332000010506",784,1548,15100
"332000010682",388,263,28197
"332000010686",534,202,11128
"332000010748",532,1080,13203
"332000010971",340,1110,15915
"332000011445",3406,795,11389
"332000011485",1233,892,13555
"332000011490",4553,779,10680
"332000011505",3208,1177,12029
"332000011609",547,1054,12729
"332100010090",643,2065,15212
"332100010095",985,1061,13605
"332100010096",794,1187,20123
"332100010097",773,1005,15461
"441600010009",488,962,14908
"441600010010",464,764,13821
"441600010012",554,1038,13761
"441600010016",861,389,16102
"441600010017",3253,390,16511
"441600010020",988,617,14793
"441600010021",1016,637,14907
"441800050000",2454,1220,20743
"441800050001",876,1061,14075
"441800050002",405,742,16151
"441800050005",397,1175,15954
"441800050006",734,279,18702
"441903020000",222,0,50880
"441903020001",100,0,38241
"441903020002",122,0,29729
"442101060000",3564,581,20064
"442101060002",1297,507,14135
"442101060003",1075,504,14032
"442101060004",482,1289,13463
"442101060007",710,350,14289
"442111020000",473,817,33502
"442111020001",275,900,21819
"442111020002",198,702,21748
"442115020000",802,567,23573
"442115020001",429,567,16151
"442115020002",373,568,14833
"450101060000",1869,1057,14228
"450101060002",861,1349,8162
"450101060003",578,136,9695
"450101060005",414,334,11326
"450607040000",717,859,17890
"580203020001",499,739,14400
"580203020002",344,114,14380
"580203020004",835,170,17445
"580203020005",434,324,14885
"580203020007",320,239,14932
"580203020008",1297,373,15130
"580205060000",12894,454,18041
"580205060002",496,445,14029
"580205060003",568,444,14272
"580205060004",645,445,13917
"580205060005",504,287,15192
"580205060006",509,444,14689
"580205060007",1026,445,15637
"580205060011",1047,445,15790
"580205060012",488,287,14015
"580205060013",525,445,12914
"580205060014",458,286,13381
"580205060015",563,445,13795
"580205060018",471,286,13853
"580205060019",2195,287,13247
"580205060020",2202,287,14114
"580205060022",950,445,16729
"580206020000",1099,580,34103
"580206020002",258,15,23229
"580206020003",381,23,25438
"580206020004",459,996,19698
"580207020000",2240,350,21407
"580207020001",731,631,16743
"580207020002",694,346,15432
"580207020003",815,101,17082
"580208020000",2521,411,23926
"580208020001",619,230,16593
"580208020002",480,528,13971
"580208020003",871,274,16080
"580208020004",551,433,12920
"580209020000",3022,617,24088
"580209020001",631,467,17089
"580209020002",1000,294,17004
"580209020003",595,495,16348
"580209020004",722,408,18768
"580211060000",9557,403,20778
"580211060002",279,286,18741
"580211060003",378,0,14617
"580211060004",443,0,13982
"580211060005",427,493,13966
"580211060006",400,0,17530
"580211060007",262,0,23568
"580211060009",1087,0,15930
"580211060010",1501,0,14896
"580211060011",1022,0,15539
"580211060014",415,530,20164
"580211060015",375,0,16185
"580211060016",1556,0,15626
"580211060017",852,321,13747
"580211060018",509,0,15390
"580212060000",9383,854,20160
"580212060001",720,471,16615
"580212060002",1113,471,14826
"580212060003",763,470,19284
"580212060004",766,470,15763
"580212060005",2888,468,17237
"580402060005",220,144,17639
"580403030000",4544,529,23059
"580403030002",300,966,18943
"580403030004",297,1331,17323
"580403030005",299,761,17974
"580403030009",335,703,17461
"580403030010",481,294,17089
"580403030013",1478,191,17530
"580403030014",697,194,18861
"580403030017",538,805,17342
"580404030000",5228,323,27957
"580404030001",414,586,18398
"580404030002",358,333,18776
"580404030004",301,390,18251
"580404030005",330,359,17292
"580404030006",356,738,19047
"580404030007",608,204,20843
"580404030008",651,150,21250
"580404030009",1893,258,21586
"580404030011",294,399,18029
"580405060000",8016,396,26264
"580405060001",559,682,20843
"580405060003",530,483,21721
"580405060008",774,401,32409
"580405060010",1702,108,14714
"580405060011",707,362,18154
"580405060012",552,691,21441
"580405060013",676,378,18859
"580405060014",1103,281,22900
"580405060016",1233,251,20409
"200701040001",63,490,30137
"200901040000",144,996,15752
"200901040001",144,996,7876
"210302040000",704,649,18690
"210302040003",327,367,11753
"210302040005",352,724,9876
"210402060000",942,652,16661
"210402060001",290,303,8759
"210402060003",410,847,9097
"210402060005",209,532,10929
"210601060000",1094,810,18821
"210601060005",540,530,9348
"210601060006",554,1084,7150
"210800050000",1124,1024,17338
"210800050001",495,1022,9349
"210800050005",345,809,14535
"210800050006",253,955,14600
"211003040000",937,656,17402
"211003040001",388,524,9592
"211003040002",268,485,13654
"211003040004",281,1001,7075
"211103040000",552,608,21261
"211103040001",247,596,18095
"211103040003",305,575,12030
"211701040000",187,1973,20476
"211701040001",187,919,12333
"211901020000",251,486,27495
"211901020001",251,486,16029
"212001040000",1103,875,17890
"212001040002",410,966,9279
"212001040003",361,170,11162
"212001040005",332,327,10997
"212101040000",2208,704,16076
"212101040001",670,870,8808
"280203030002",833,323,17268
"280203030003",690,391,20789
"280203030006",492,548,29152
"280203030008",625,431,24161
"280203030009",1105,244,13702
"280203030010",769,350,21014
"280203030011",1448,186,12442
"280203030012",415,649,34512
"280204020000",2116,420,21420
"280204020003",360,480,17136
"280204020004",321,367,15612
"280204020005",728,403,16109
"280204020006",348,398,16070
"280204020007",293,460,18977
"280205030000",7138,306,23671
"280205030001",693,22,21183
"280205030002",635,54,21103
"280205030005",568,22,20930
"280205030006",269,22,21151
"280205030009",399,23,21534
"280205030010",765,2581,23352
"280205030011",545,21,21312
"280205030013",932,18,17519
"280205030015",963,67,2176
"280205030016",1234,35,21214
"280206030000",2256,395,25358
"280206030003",591,161,16494
"280206030004",426,168,21661
"580224030004",518,392,11045
"580224030005",328,869,17755
"580224030006",549,31,13797
"580224030007",482,48,13218
"580224030008",2420,171,13261
"580224030009",588,755,12674
"580224030010",560,278,13140
"580224030011",667,722,14441
"580232030000",9109,1095,18410
"580232030002",2719,310,16085
"580232030004",711,1101,14616
"580232030005",753,744,12858
"580232030006",838,949,11792
"580232030008",870,868,13933
"580232030010",1102,113,15369
"580232030011",661,111,15208
"580232030012",1039,372,14738
"580232030014",41,30,34438
"580233020000",1598,817,23028
"580233020001",572,858,18477
"580233020002",389,451,18843
"580233020003",590,790,19205
"580234020000",737,411,41
"580234020001",341,0,0
"580234020002",372,815,81
"580235060000",4199,725,25296
"580235060002",361,748,20118
"580235060003",531,730,21055
"580235060004",1007,804,19560
"580235060005",609,812,19822
"580235060006",1336,641,17601
"580235060007",305,737,22623
"580301020000",1828,571,31966
"580301020001",558,561,27464
"580301020002",923,565,20529
"580301020003",347,601,24845
