"INSTITUTION_ID","ENTITY_CD","ENTITY_NAME","YEAR","SUBGROUP_NAME","COHORT","STATE_BASELINE","SCHOOL_BASELINE","COHORT_COUNT","GRAD_RATE","MIP","STATE_MIP","LONG_TERM_GOAL","EXCEED_LT_GOAL","MET_SH_TARGET","MET_AG_TARGET","END_GOAL","COHORT_LEVEL","OVERRIDE","CHANGE_COHORT","CHANGE_GRAD_RATE","CHANGE_SH_TARGET","CHANGE_AG_TARGET","CHANGE_COHORT_LEVEL","DISPLAY_COHORT_COUNT"
"800000055743","010100010034","ALBANY HIGH SCHOOL","2019","All Students","Combined","s","s","s","70.3","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000059776","010100860907","GREEN TECH HIGH CHARTER SCHOOL","2019","All Students","Combined","s","s","s","93.3","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000068133","010100860960","ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS","2019","All Students","Combined","s","s","s","82.4","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000055479","010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","94.5","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000055439","010306060008","BETHLEHEM CENTRAL SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","95.6","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000055436","010402060001","RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","88.2","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000055426","010500010007","COHOES HIGH SCHOOL","2019","All Students","Combined","s","s","s","79.6","s","s","s","s","s","s","s","2",NA,NA,NA,NA,NA,NA,NA
"800000055406","010601060008","COLONIE CENTRAL HIGH SCHOOL","2019","All Students","Combined","s","s","s","92.7","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000061851","010623060000","NORTH COLONIE CSD","2019","All Students","Combined","s","s","s","95.1","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000055320","010701030001","HEATLY SCHOOL","2019","All Students","Combined","s","s","s","78.8","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000055328","010802060005","GUILDERLAND HIGH SCHOOL","2019","All Students","Combined","s","s","s","95.7","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000055280","011003060002","CLAYTON A BOUTON HIGH SCHOOL","2019","All Students","Combined","s","s","s","97.6","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000055375","010623060010","SHAKER HIGH SCHOOL","2019","All Students","Combined","s","s","s","95.3","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000055262","011200010010","WATERVLIET JUNIOR-SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","77.8","s","s","s","s","s","s","s","2",NA,NA,NA,NA,NA,NA,NA
"800000055239","020101040002","ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","94.4","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000055225","020601040001","ANDOVER SCHOOL","2019","All Students","Combined","s","s","s","92.7","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000055233","020702040001","GENESEE VALLEY CENTRAL SCHOOL","2019","All Students","Combined","s","s","s","90.9","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000055193","020801040001","BELFAST SCHOOL","2019","All Students","Combined","s","s","s","90.2","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000055189","021102040001","CANASERAGA SCHOOL","2019","All Students","Combined","s","s","s","85.5","s","s","s","s","s","s","s","2",NA,NA,NA,NA,NA,NA,NA
"800000055180","021601040004","FRIENDSHIP CENTRAL SCHOOL","2019","All Students","Combined","s","s","s","89.4","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
