"","ENTITY_CD","NUM_TEACH","PER_TEACH_INEXP","NUM_PRINC","PER_PRINC_INEXP"
"1","010100010000",723,11,18,17
"2","010100010014",27,4,1,0
"3","010100010016",27,4,2,50
"4","010100010018",29,10,1,0
"5","010100010019",38,5,1,0
"6","061001040000",64,6,2,0
"7","061001040001",25,0,1,0
"8","061001040005",39,10,1,0
"9","061101040000",96,8,4,0
"10","061101040001",21,14,1,0
"11","061101040007",55,4,2,0
"12","061101040009",23,13,1,0
"13","061501040000",114,9,3,67
"14","061501040001",34,9,1,100
"15","010100010020",23,4,1,0
"16","010100010023",36,11,1,0
"17","010100010027",27,7,1,100
"18","010100010028",34,9,1,0
"19","010100010029",43,5,1,0
"20","010100010030",88,13,1,0
"21","010100010034",210,14,1,100
"22","010100010039",32,9,1,0
"23","010100010043",27,4,1,0
"24","010100010044",27,15,1,0
"25","010100010045",85,14,2,0
"26","010100010050",83,18,2,0
"27","010100860829",24,17,1,0
"28","010100860830",19,32,1,100
"29","010100860867",38,34,2,100
"30","010100860892",30,47,1,100
"31","010100860899",36,39,2,100
"32","010100860907",36,11,1,100
"33","010100860960",40,35,2,100
"34","010201040000",81,16,2,50
"35","010201040001",45,16,1,0
"36","010201040002",39,15,1,100
"37","010306060000",344,12,7,14
"38","010306060003",27,7,1,0
"39","010306060004",34,9,1,0
"40","010306060005",30,13,1,0
"41","010306060006",38,11,1,0
"42","010306060007",85,11,1,0
"43","010306060008",120,12,1,100
"44","010306060009",38,24,1,0
"45","010402060000",173,9,4,25
"46","010402060001",58,10,1,0
"47","010402060002",35,9,1,100
"48","010402060003",37,5,1,0
"49","010402060008",47,13,1,0
"50","010500010000",157,19,5,0
"51","010500010005",28,29,1,0
"52","010500010006",15,27,1,0
"53","010500010007",55,11,1,0
"54","010500010008",43,14,1,0
"55","010500010009",28,32,1,0
"56","010601060000",346,8,8,13
"57","010601060003",26,8,1,0
"58","010601060005",24,13,1,0
"59","010601060006",24,0,1,0
"60","010601060008",124,6,1,0
"61","010601060010",24,17,1,0
"62","010601060011",27,7,1,100
"63","010601060012",69,6,1,0
"64","010601060013",54,11,1,0
"65","010615020000",31,3,1,0
"66","010615020001",31,3,1,0
"67","010623060000",478,7,10,20
"68","010623060002",45,4,1,0
"69","010623060003",43,7,2,50
"70","010623060004",45,11,1,0
"71","010623060006",45,9,1,0
"72","010623060007",30,10,1,0
"73","010623060008",42,5,1,0
"74","010623060009",89,6,2,50
"75","010623060010",181,8,1,0
"76","010701030000",33,12,1,0
"77","010701030001",33,12,1,0
"78","010802060000",429,14,7,14
"79","010802060001",29,10,1,0
"80","010802060003",52,15,1,0
"81","010802060004",47,15,1,0
"82","010802060005",135,13,1,100
"83","010802060007",43,33,1,0
"84","010802060008",109,12,1,0
"85","010802060009",36,14,1,0
"86","011003060000",100,13,3,0
"87","011003060001",36,14,1,0
"88","011003060002",45,13,1,0
"89","011003060003",32,9,1,0
"90","011200010000",109,8,3,67
"91","061501040002",37,16,1,0
"92","061501040003",56,9,1,100
"93","061503040000",51,10,2,50
"94","061503040002",26,12,1,100
"95","061503040003",28,11,1,0
"96","061601040000",45,4,2,100
"97","061601040001",27,7,1,100
"98","061601040003",27,0,1,100
"99","061700010000",426,14,9,22
"100","061700010001",42,17,1,100
"101","061700010003",29,14,1,0
"102","061700010006",48,25,1,0
"103","061700010007",44,14,1,0
"104","061700010009",38,24,1,0
"105","061700010010",45,13,1,100
"106","061700010011",35,3,1,0
"107","061700010012",52,19,1,0
"108","061700010013",106,8,1,0
"109","062201060000",138,11,3,0
"110","062201060001",51,12,1,0
"111","062201060002",51,16,1,0
"112","062201060003",55,13,1,0
"113","062301040000",55,11,2,0
"114","062301040002",27,11,1,0
"115","062301040003",31,10,1,0
"116","062401040000",14,14,1,100
"117","062401040001",14,14,1,100
"118","062601040000",43,12,1,100
"119","062601040002",27,15,1,100
"120","062601040003",25,4,1,100
"121","062901040000",72,11,2,50
"122","062901040001",34,15,1,100
"123","062901040002",30,0,1,0
"124","062901040004",30,10,1,0
"125","070600010000",351,15,14,21
"126","070600010006",23,17,2,50
