"ENTITY_CD","SCHOOL_NAME","NUM_PRINC","NUM_TEACH","NUM_COUNSELORS","NUM_SOCIAL"
"010100010014","MONTESSORI MAGNET SCHOOL",1,27,0,1
"010100010016","PINE HILLS ELEMENTARY SCHOOL",2,27,0,1
"010100010018","DELAWARE COMMUNITY SCHOOL",1,29,0,1
"010100010019","NEW SCOTLAND ELEMENTARY SCHOOL",1,38,0,1
"010100010020","NORTH ALBANY ACADEMY",1,23,0,1
"010100010023","ALBANY SCHOOL OF HUMANITIES",1,36,0,1
"010100010027","EAGLE POINT ELEMENTARY SCHOOL",1,27,0,1
"010100010028","THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY",1,34,0,0
"010100010029","GIFFEN MEMORIAL ELEMENTARY SCHOOL",1,43,0,2
"010100010030","WILLIAM S HACKETT MIDDLE SCHOOL",1,88,2,2
"010100010034","ALBANY HIGH SCHOOL",1,210,11,11
"010100010039","ARBOR HILL ELEMENTARY SCHOOL",1,32,1,2
"010100010043","PHILIP J SCHUYLER ACHIEVEMENT ACADEMY",1,27,0,0
"010100010044","SHERIDAN PREPARATORY ACADEMY",1,27,0,1
"010100010045","STEPHEN AND HARRIET MYERS MIDDLE SCHOOL",2,85,2,2
"010100010050","EDMUND J O'NEAL MS OF EXCELLENCE",2,83,2,2
"010100860829","BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS",1,24,2,0
"010100860830","BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS",1,19,2,0
"010100860867","KIPP TECH VALLEY CHARTER SCHOOL",2,38,2,0
"010100860892","HENRY JOHNSON CHARTER SCHOOL",1,30,1,1
"010100860899","ALBANY COMMUNITY CHARTER SCHOOL",2,36,1,0
"010100860907","GREEN TECH HIGH CHARTER SCHOOL",1,36,3,0
"010100860960","ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS",2,40,2,1
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL",1,45,3,0
"010201040002","BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL",1,39,1,0
