"ENTITY_CD","ENTITY_NAME","PER_SUSPENSIONS"
"140600010045","INTERNATIONAL SCHOOL",7
"140600010053","COMMUNITY SCHOOL #53 AT #4",22
"140600010054","DR GEORGE BLACKMAN ECC",8
"140600010056","FREDERICK OLMSTED #156",4
"140600010059","PS 59 DR CHARLES DREW SCIENCE MAGNET",32
"140600010061","PS 61 AT 171",13
"140600010064","PS 64 FREDERICK LAW OLMSTED",0
"140600010065","PS 65 ROOSEVELT ACADEMY ECC",4
"140600010066","PS 66 NORTH PARK ACADEMY",38
"140600010069","PS 69 HOUGHTON ACADEMY",7
"140600010072","LORRAINE ELEMENTARY SCHOOL",16
"140600010074","PS 74 HAMLIN PARK ELEMENTARY SCHOOL",30
"140600010076","HERMAN BADILLO COMMUNITY SCHOOL",14
"140600010080","HIGHGATE HEIGHTS",24
"140600010081","PS 81",14
"140600010082","PS 82",18
"140600010084","PS 84",0
"140600010093","SOUTHSIDE ELEMENTARY SCHOOL",17
"140600010094","DR LYDIA T WRIGHT SCH OF EXCELLENCE",33
"140600010097","BUFFALO ACADEMY FOR THE VISUAL & PERFORMING ARTS",16
"140600010098","MCKINLEY VOCATIONAL HIGH SCHOOL",20
"140600010101","BURGARD VOCATIONAL HIGH SCHOOL",47
"140600010102","CITY HONORS SCHOOL AT FOSDICK MASTEN PARK",1
"140600010104","EMERSON SCHOOL OF HOSPITALITY",41
"140600010105","HUTCHINSON CENTRAL TECHNICAL HIGH SCHOOL",16
"140600010108","RIVERSIDE INSTITUTE OF TECHNOLOGY",25
"140600010110","SOUTH PARK HIGH SCHOOL",32
"140600010118","WEST HERTEL ELEMENTARY SCHOOL",10
"140600010119","WATERFRONT SCHOOL",18
"140600010122","BENNETT PARK MONTESSORI SCHOOL",12
"140600010126","STANLEY MAKOWSKI EARLY CHILDHOOD CENTER",9
"140600010128","LEONARDO DA VINCI HIGH SCHOOL",11
"140600010129","GRABIARZ-CAMPUS SCHOOL #79",10
"140600010130","FRANK A SEDITA SCHOOL #30",11
"140600010132","MATH SCIENCE TECHNOLOGY PREPARATORY SCHOOL AT SENECA (THE)",31
"140600010133","ALTERNATIVE HIGH SCHOOL AT 44",94
"140600010135","MIDDLE EARLY COLLEGE HIGH SCHOOL",15
"140600010140","EAST COMMUNITY HIGH SCHOOL",59
"140600010141","LAFAYETTE INTERNATIONAL SCHOOL",11
"140600010197","HARVEY AUSTIN SCHOOL #97",33
"140600010308","INTERNATIONAL PREPARATORY SCHOOL AT GROVER CLEVELAND AT #187",33
"140600010309","NEWCOMER ACADEMY AT LAFAYETTE",3
"140600010310","RIVERSIDE ACADEMY HIGH SCHOOL",38
"140600010311","LEWIS J BENNETT HS OF INNOVATIVE TEC",29
"140600010312","BUILD COMMUNITY SCHOOL",17
"140600010313","NEW BUFFALO - CULINARY ART, HOSPITAL",24
"140600010314","MARTIN LUTHER KING JR #48",3
"140600010315","NORTH PARK COMMUNITY SCHOOL #50",10
"140600010316","PATHWAYS ACADEMY",26
"140600860814","KING CENTER CHARTER SCHOOL",10
"140600860817","SOUTH BUFFALO CHARTER SCHOOL",10
"140600860838","TAPESTRY CHARTER SCHOOL",16
"140600860851","BUFFALO UNITED CHARTER SCHOOL",11
"140600860856","ENTERPRISE CHARTER SCHOOL",15
"140600860861","BUFFALO ACADEMY OF SCIENCE CHARTER SCHOOL",16
"140600860863","WESTERN NEW YORK MARITIME CHARTER SCHOOL",21
"140600860874","WESTMINSTER COMMUNITY CHARTER SCHOOL",5
"140600860896","ELMWOOD VILLAGE CHARTER SCHOOL",4
"140600860911","ALOMA D JOHNSON CHARTER SCHOOL",NA
"140600860961","HEALTH SCIENCES CHARTER SCHOOL",44
"140600860986","WEST BUFFALO CHARTER SCHOOL",2
"140600861072","CHARTER SCHOOL OF INQUIRY",14
"140600861105","ELMWOOD VILLAGE CHARTER - HERTEL",5
"140600861109","REACH ACADEMY CHARTER SCHOOL",5
"140600861129","BUFFALO COLLEGIATE CHARTER SCHOOL",39
"140600861134","PERSISTENCE PREP ACADEMY CHARTER SCH",8
"140701060004","UNION EAST ELEMENTARY SCHOOL",1
"140701060006","CHEEKTOWAGA HIGH SCHOOL",10
"140701060007","CHEEKTOWAGA MIDDLE SCHOOL",6
"140702030003","MARYVALE PRIMARY SCHOOL",0
"140702030004","MARYVALE INTERMEDIATE SCHOOL",1
"140702030005","MARYVALE MIDDLE SCHOOL",4
"140702030006","MARYVALE HIGH SCHOOL",7
"140703020002","CLEVELAND HILL ELEMENTARY SCHOOL",3
"140703020003","CLEVELAND HILL HIGH SCHOOL",9
"140703020004","CLEVELAND HILL MIDDLE SCHOOL",8
"140707030003","DEPEW HIGH SCHOOL",4
"140707030004","DEPEW MIDDLE SCHOOL",5
"140707030005","CAYUGA HEIGHTS ELEMENTARY SCHOOL",3
"140709030001","THEODORE ROOSEVELT SCHOOL",0
"140709030002","WOODROW WILSON ELEMENTARY SCHOOL",3
"140709030003","JOHN F KENNEDY MIDDLE SCHOOL",12
"140709030004","JOHN F KENNEDY SENIOR HIGH SCHOOL",7
"140801060002","HARRIS HILL ELEMENTARY SCHOOL",1
"140801060003","LEDGEVIEW ELEMENTARY SCHOOL",1
"140801060005","SHERIDAN HILL ELEMENTARY SCHOOL",0
"140801060006","CLARENCE SENIOR HIGH SCHOOL",1
"140801060007","CLARENCE CENTER ELEMENTARY SCHOOL",1
"140801060008","CLARENCE MIDDLE SCHOOL",2
"141101060001","GRIFFITH INSTITUTE HIGH SCHOOL",2
"141101060002","COLDEN ELEMENTARY SCHOOL",0
"141101060003","SPRINGVILLE ELEMENTARY SCHOOL",0
"141101060004","GRIFFITH INSTITUTE MIDDLE SCHOOL",0
"141201060001","EDEN JUNIOR-SENIOR HIGH SCHOOL",2
"010100010014","MONTESSORI MAGNET SCHOOL",0
"010100010016","PINE HILLS ELEMENTARY SCHOOL",3
"010100010018","DELAWARE COMMUNITY SCHOOL",2
"010100010019","NEW SCOTLAND ELEMENTARY SCHOOL",0
"010100010020","NORTH ALBANY ACADEMY",0
"010100010023","ALBANY SCHOOL OF HUMANITIES",0
"010100010027","EAGLE POINT ELEMENTARY SCHOOL",6
"010100010028","THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY",9
"010100010029","GIFFEN MEMORIAL ELEMENTARY SCHOOL",8
"010100010030","WILLIAM S HACKETT MIDDLE SCHOOL",13
"010100010034","ALBANY HIGH SCHOOL",6
"010100010039","ARBOR HILL ELEMENTARY SCHOOL",7
"010100010043","PHILIP J SCHUYLER ACHIEVEMENT ACADEMY",1
"010100010044","SHERIDAN PREPARATORY ACADEMY",15
"010100010045","STEPHEN AND HARRIET MYERS MIDDLE SCHOOL",26
"010100010050","EDMUND J O'NEAL MS OF EXCELLENCE",36
"010100860829","BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS",19
"010100860830","BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS",8
"010100860867","KIPP TECH VALLEY CHARTER SCHOOL",11
"010100860892","HENRY JOHNSON CHARTER SCHOOL",5
"010100860899","ALBANY COMMUNITY CHARTER SCHOOL",10
"010100860907","GREEN TECH HIGH CHARTER SCHOOL",40
"010100860960","ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS",18
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL",8
"010201040002","BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL",1
"010306060003","ELSMERE ELEMENTARY SCHOOL",0
"010306060004","GLENMONT ELEMENTARY SCHOOL",1
"010306060005","HAMAGRAEL ELEMENTARY SCHOOL",0
"010306060006","SLINGERLANDS ELEMENTARY SCHOOL",0
"010306060007","BETHLEHEM CENTRAL MIDDLE SCHOOL",4
"010306060008","BETHLEHEM CENTRAL SENIOR HIGH SCHOOL",2
"010306060009","EAGLE ELEMENTARY SCHOOL",0
"010402060001","RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL",15
"010402060002","ALBERTUS W BECKER SCHOOL",2
"010402060003","PIETER B COEYMANS SCHOOL",1
"010402060008","RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL",9
"010500010005","ABRAM LANSING SCHOOL",0
"010500010006","VAN SCHAICK ISLAND SCHOOL",0
"010500010007","COHOES HIGH SCHOOL",14
"010500010008","COHOES MIDDLE SCHOOL",17
"010500010009","HARMONY HILL SCHOOL",1
"010601060003","ROESSLEVILLE SCHOOL",0
"010601060005","SADDLEWOOD ELEMENTARY SCHOOL",0
"010601060006","SHAKER ROAD ELEMENTARY SCHOOL",0
"010601060008","COLONIE CENTRAL HIGH SCHOOL",3
"010601060010","FOREST PARK ELEMENTARY SCHOOL",0
"010601060011","VEEDER ELEMENTARY SCHOOL",0
"010601060012","SAND CREEK MIDDLE SCHOOL",6
"010601060013","LISHA KILL MIDDLE SCHOOL",7
"010615020001","MENANDS SCHOOL",7
"010623060000","NORTH COLONIE CSD",3
"010623060002","BLUE CREEK SCHOOL",1
"010623060003","BOGHT HILLS SCHOOL",1
"010623060004","FORTS FERRY SCHOOL",0
"010623060006","LATHAM RIDGE SCHOOL",2
"010623060007","LOUDONVILLE SCHOOL",0
"010623060008","SOUTHGATE SCHOOL",0
"010623060009","SHAKER JUNIOR HIGH SCHOOL",4
"010623060010","SHAKER HIGH SCHOOL",5
"010701030001","HEATLY SCHOOL",16
"010802060001","ALTAMONT ELEMENTARY SCHOOL",1
"010802060003","GUILDERLAND ELEMENTARY SCHOOL",0
"010802060004","WESTMERE ELEMENTARY SCHOOL",0
"010802060005","GUILDERLAND HIGH SCHOOL",6
"010802060007","LYNNWOOD ELEMENTARY SCHOOL",0
"010802060008","FARNSWORTH MIDDLE SCHOOL",1
"010802060009","PINE BUSH ELEMENTARY SCHOOL",0
"011003060001","VOORHEESVILLE ELEMENTARY SCHOOL",0
"011003060002","CLAYTON A BOUTON HIGH SCHOOL",3
"011003060003","VOORHEESVILLE MIDDLE SCHOOL",1
"011200010002","WATERVLIET ELEMENTARY SCHOOL",3
"011200010010","WATERVLIET JUNIOR-SENIOR HIGH SCHOOL",16
"020101040001","ALFRED-ALMOND ELEMENTARY SCHOOL",1
"020101040002","ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL",1
"020601040001","ANDOVER SCHOOL",5
"020702040001","GENESEE VALLEY CENTRAL SCHOOL",4
"020801040001","BELFAST SCHOOL",3
"021102040001","CANASERAGA SCHOOL",7
"021601040004","FRIENDSHIP CENTRAL SCHOOL",3
"022001040001","FILLMORE CENTRAL SCHOOL",1
"022101040001","WHITESVILLE CENTRAL SCHOOL",2
"022302040001","CUBA-RUSHFORD HIGH SCHOOL",3
"022302040002","CUBA-RUSHFORD ELEMENTARY SCHOOL",1
"022302040004","CUBA-RUSHFORD MIDDLE SCHOOL",3
"022401040003","SCIO CENTRAL SCHOOL",6
"022601060004","WELLSVILLE SENIOR HIGH SCHOOL",5
"022601060005","WELLSVILLE ELEMENTARY SCHOOL",1
"022902040001","BOLIVAR-RICHBURG JUNIOR-SENIOR HIGH SCHOOL",0
"022902040002","BOLIVAR-RICHBURG ELEMENTARY SCHOOL",0
"022902040003","BOLIVAR-RICHBURG PRE-K PROGRAM",NA
"030101060001","CHENANGO FORKS ELEMENTARY SCHOOL",2
"030101060003","CHENANGO FORKS HIGH SCHOOL",4
"030101060004","CHENANGO FORKS MIDDLE SCHOOL",2
"030200010002","CALVIN COOLIDGE SCHOOL",5
"030200010005","BENJAMIN FRANKLIN ELEMENTARY SCHOOL",4
"030200010008","THOMAS JEFFERSON SCHOOL",7
"030200010011","MACARTHUR SCHOOL",4
"030200010012","THEODORE ROOSEVELT SCHOOL",5
"030200010014","WOODROW WILSON SCHOOL",5
"030200010015","EAST MIDDLE SCHOOL",26
"030200010016","WEST MIDDLE SCHOOL",2
"030200010021","BINGHAMTON HIGH SCHOOL",13
"030200010022","HORACE MANN SCHOOL",10
"030501040001","W A OLMSTED ELEMENTARY SCHOOL",9
"030501040003","HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL",13
"030601060001","BROOKSIDE ELEMENTARY SCHOOL",0
"030601060004","F P DONNELLY SCHOOL",0
"030601060005","RICHARD T STANK MIDDLE SCHOOL",2
"030601060006","SUSQUEHANNA VALLEY SENIOR HIGH SCHOOL",1
"030701060001","CHENANGO VALLEY HIGH SCHOOL",8
"030701060003","CHENANGO BRIDGE ELEMENTARY SCHOOL",0
"030701060004","PORT DICKINSON ELEMENTARY SCHOOL",0
"030701060005","CHENANGO VALLEY MIDDLE SCHOOL",1
"031101060003","HOMER BRINK SCHOOL",0
"031101060004","MAINE MEMORIAL SCHOOL",0
"031101060005","MAINE-ENDWELL MIDDLE SCHOOL",5
"031101060006","MAINE-ENDWELL SENIOR HIGH SCHOOL",3
"031301040002","DEPOSIT ELEMENTARY SCHOOL",3
"031301040003","DEPOSIT MIDDLE-SENIOR HIGH SCHOOL",7
"031401060002","TIOUGHNIOGA RIVERSIDE ACADEMY",2
"031401060004","WHITNEY POINT SENIOR HIGH SCHOOL",5
"031401060005","CARYL E ADAMS PRIMARY SCHOOL",1
"031501060001","CHARLES F JOHNSON JR ELEMENTARY SCHOOL",1
"031501060002","GEORGE F JOHNSON ELEMENTARY SCHOOL",0
"031501060007","LINNAEUS W WEST SCHOOL",12
"031501060009","JENNIE F SNAPP MIDDLE SCHOOL",4
"031501060012","UNION-ENDICOTT HIGH SCHOOL",1
"031501060013","THOMAS J WATSON SR ELEMENTARY SCHOOL",2
"031501060014","ANN G MCGUINNESS ELEMENTAR SCHOOL",0
"031502060001","JOHNSON CITY ELEMENTARY/INTERMEDIATE SCHOOL",5
"031502060003","JOHNSON CITY ELEMENTARY/PRIMARY SCHOOL",4
"031502060005","JOHNSON CITY MIDDLE SCHOOL",11
"031502060006","JOHNSON CITY SENIOR HIGH SCHOOL",10
"031601060021","AFRICAN ROAD ELEMENTARY SCHOOL",1
"031601060022","CLAYTON AVENUE ELEMENTARY SCHOOL",2
"031601060023","GLENWOOD ELEMENTARY SCHOOL",2
"031601060026","TIOGA HILLS ELEMENTARY SCHOOL",1
"031601060028","VESTAL HILLS ELEMENTARY SCHOOL",1
"031601060041","VESTAL MIDDLE SCHOOL",3
"031601060051","VESTAL SENIOR HIGH SCHOOL",2
"031701060002","FLOYD BELL ELEMENTARY SCHOOL",3
"031701060003","C R WEEKS ELEMENTARY SCHOOL",0
"031701060004","A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL",5
"031701060007","WINDSOR CENTRAL HIGH SCHOOL",5
"040204040001","WEST VALLEY CENTRAL SCHOOL",6
"040302060001","ALLEGANY-LIMESTONE HIGH SCHOOL",5
"040302060002","ALLEGANY-LIMESTONE ELEMENTARY SCHOOL",1
"040901040001","ELLICOTTVILLE ELEMENTARY SCHOOL",2
"040901040002","ELLICOTTVILLE MIDDLE SCHOOL HIGH SCHOOL",4
"041101040002","FRANKLINVILLE JUNIOR-SENIOR HIGH SCHOOL",7
"041101040003","FRANKLINVILLE ELEMENTARY SCHOOL",2
"041401040001","HINSDALE CENTRAL SCHOOL",0
"042302040002","CATTARAUGUS-LITTLE VALLEY ELEMENTARY SCHOOL",4
"042302040003","CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL",7
"042302040004","CATTARAUGUS-LITTLE VALLEY MIDDLE SCHOOL",4
"042400010002","WASHINGTON WEST ELEMENTARY SCHOOL",0
"042400010004","EAST VIEW ELEMENTARY SCHOOL",2
"042400010013","OLEAN SENIOR HIGH SCHOOL",7
