"ENTITY_CD","PER_OUT_CERT"
"010100010000",5
"010100010014",0
"010100010016",0
"010100010018",0
"010100010019",0
"061001040000",3
"061001040001",4
"061001040005",3
"061101040000",0
"061101040001",0
"061101040007",0
"061101040009",0
"061501040000",8
"061501040001",5
"010100010020",0
"010100010023",3
"010100010027",4
"010100010028",3
"010100010029",2
"010100010030",10
"010100010034",8
"010100010039",4
"010100010043",5
"010100010044",0
"010100010045",2
"010100010050",9
"010100860829",60
"010100860830",35
"010100860867",61
"010100860892",18
"010100860899",68
"010100860907",48
"010100860960",61
"010201040000",1
"010201040001",2
"010201040002",0
"010306060000",0
"010306060003",0
"010306060004",0
"010306060005",0
"010306060006",0
"010306060007",0
"010306060008",0
"010306060009",0
"010402060000",5
"010402060001",2
"010402060002",0
"010402060003",2
"010402060008",14
"010500010000",2
"010500010005",0
"010500010006",0
"010500010007",2
"010500010008",5
"010500010009",0
"010601060000",2
"010601060003",0
"010601060005",4
"010601060006",4
"010601060008",1
"010601060010",0
"010601060011",0
"010601060012",2
"010601060013",4
"010615020000",7
"010615020001",7
"010623060000",1
"010623060002",3
"010623060003",0
"010623060004",0
"010623060006",0
"010623060007",0
"010623060008",0
"010623060009",1
"010623060010",1
"010701030000",3
"010701030001",3
"010802060000",1
"010802060001",4
"010802060003",0
"010802060004",0
"010802060005",0
"010802060007",0
"010802060008",0
"010802060009",3
"011003060000",1
"011003060001",3
"011003060002",0
"011003060003",0
"011200010000",0
"061501040002",14
"061501040003",6
"061503040000",7
"061503040002",0
"061503040003",12
"061601040000",6
"061601040001",11
"061601040003",0
"061700010000",3
"061700010001",0
"061700010003",0
"061700010006",7
"061700010007",2
"061700010009",0
"061700010010",2
"061700010011",0
"061700010012",2
"061700010013",7
"062201060000",0
"062201060001",0
"062201060002",0
"062201060003",0
"062301040000",7
"062301040002",4
"062301040003",12
"062401040000",5
"062401040001",5
"062601040000",4
"062601040002",6
"062601040003",0
"062901040000",4
"062901040001",0
"062901040002",0
"062901040004",10
"070600010000",1
"070600010006",0
"070600010007",0
"070600010010",3
"070600010013",0
"070600010014",0
"070600010015",0
