ENTITY_CD,INSTITUTION_ID,ENTITY_NAME,GRAD_RATE,ATTENDANCE_RATE,PER_FREE_LUNCH,PER_REDUCED_LUNCH,NUM_PRINC,NUM_TEACH,NUM_COUNSELORS,NUM_SOCIAL,PER_SUSPENSIONS,PER_ELL,PER_AM_IND,PER_BLACK,PER_HISP,PER_ASIAN,PER_WHITE,PER_Multi,PER_SWD,PER_FEMALE,PER_MALE,PER_ECDIS,PER_MIGRANT,PER_HOMELESS,PER_FOSTER,PER_ARMED,PER_TEACH_INEXP,PER_PRINC_INEXP,PER_OUT_CERT,OVERALL_STATUS,NEEDS_INDEX,PUPIL_COUNT_TOT,PER_FEDERAL_EXP,PER_STATE_LOCAL_EXP
010100010034,800000055743,ALBANY HIGH SCHOOL,70.3,85,65,0,1,210,11,11,6,12,0,50,15,9,22,3,14,50,50,66,0,1,0,0,14,100,8,Good Standing,3,2548,309,12962
010201040001,800000055479,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,94.5,95,31,5,1,45,3,0,8,0,0,1,2,1,94,1,17,48,52,39,0,0,0,0,16,0,2,Good Standing,5,347,437,18507
010701030001,800000055320,HEATLY SCHOOL,78.8,93,46,10,1,33,1,1,16,0,0,6,3,1,84,6,21,57,43,59,0,1,0,0,12,0,3,Comprehensive Support and Improvement,3,267,749,13946
011200010010,800000055262,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,77.8,92,61,4,1,55,4,2,16,6,0,22,14,10,48,6,13,46,54,70,0,1,0,0,9,0,0,Good Standing,3,567,0,9862
020801040001,800000055193,BELFAST SCHOOL,90.2,96,49,7,2,37,1,0,3,0,0,1,1,0,97,2,19,46,54,57,0,0,1,0,19,50,5,Good Standing,4,336,1001,15561
021102040001,800000055189,CANASERAGA SCHOOL,85.5,95,47,2,1,26,1,0,7,0,0,0,4,0,95,0,14,53,47,50,0,0,0,0,15,0,3,Good Standing,4,238,1090,14084
022101040001,800000055157,WHITESVILLE CENTRAL SCHOOL,96.1,96,42,16,1,23,0,0,2,0,0,1,2,0,98,0,11,52,48,59,0,1,0,0,43,0,18,Good Standing,4,196,862,16251
022902040001,800000055109,BOLIVAR-RICHBURG JUNIOR-SENIOR HIGH SCHOOL,94.2,94,49,0,1,42,2,0,0,0,0,1,1,0,96,1,14,47,53,53,0,0,0,0,10,0,5,Good Standing,4,391,576,15841
030501040003,800000054996,HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL,91.6,93,64,3,1,36,2,0,13,0,1,1,1,0,95,2,19,44,56,69,0,0,0,0,17,0,7,Good Standing,4,358,664,13102
031502060006,800000054898,JOHNSON CITY SENIOR HIGH SCHOOL,87.2,92,58,5,1,73,4,2,10,3,0,15,7,8,61,9,14,48,52,65,0,2,0,0,12,100,0,Good Standing,3,750,624,13399
031701060007,800000054837,WINDSOR CENTRAL HIGH SCHOOL,90.2,97,41,3,1,48,3,0,5,0,0,2,3,1,93,1,11,50,50,45,0,1,0,0,6,0,2,Good Standing,5,500,796,14324
042801060006,800000054710,GOWANDA HIGH SCHOOL,86.4,92,46,12,2,42,3,1,4,0,24,0,4,0,64,7,16,52,48,61,0,1,0,0,7,100,0,Good Standing,4,350,1318,17130
042901040002,800000054691,PORTVILLE JUNIOR-SENIOR HIGH SCHOOL,94,96,36,5,1,40,2,0,3,0,0,0,1,0,96,3,13,53,47,43,0,0,0,1,8,0,12,Good Standing,5,476,271,11328
043501060006,800000054619,PIONEER SENIOR HIGH SCHOOL,90.3,93,39,7,1,69,3,0,3,0,0,1,2,2,95,0,17,49,51,50,0,1,0,1,1,0,0,Good Standing,4,745,479,13770
050401040003,800000054530,CATO-MERIDIAN SENIOR HIGH SCHOOL,96.2,94,31,6,1,31,2,0,2,0,1,2,1,1,91,4,8,47,53,40,0,0,0,0,3,0,4,Good Standing,5,294,572,17248
051101040004,800000054528,PORT BYRON SENIOR HIGH SCHOOL,91,92,43,5,1,36,3,0,12,0,0,1,3,0,94,2,16,52,48,50,0,1,0,0,11,0,17,Good Standing,5,418,361,13281
060301040004,800000054449,FREWSBURG JUNIOR-SENIOR HIGH SCHOOL,93.7,95,33,4,1,34,2,0,5,0,1,1,2,1,94,2,15,50,50,42,0,0,0,0,15,100,3,Good Standing,5,383,0,13992
060401040006,800000054440,CASSADAGA VALLEY MIDDLE/HIGH SCHOOL,85.7,94,48,5,1,48,2,1,4,0,0,1,3,0,94,2,17,46,54,58,0,0,0,0,8,100,4,Good Standing,4,458,983,14495
060800010009,800000054331,DUNKIRK SENIOR HIGH SCHOOL,77.4,88,58,0,2,59,4,1,8,19,1,7,50,0,40,1,12,48,52,65,3,3,0,0,20,50,7,Good Standing,3,602,1910,12247
061001040005,800000054288,MAPLE GROVE JUNIOR/SENIOR HIGH SCHOOL,94.5,94,24,1,1,39,2,0,5,0,0,1,2,2,96,0,10,45,55,28,0,0,1,0,10,0,3,Good Standing,5,379,249,12659
080201040001,800000054037,BAINBRIDGE-GUILFORD HIGH SCHOOL,94.5,89,38,9,1,33,2,1,6,0,1,1,2,2,91,4,16,49,51,61,0,0,0,0,6,0,0,Good Standing,5,355,143,14377
081003040003,800000054003,UNADILLA VALLEY SECONDARY SCHOOL,89.2,94,58,5,1,44,2,0,9,0,2,1,1,1,94,1,24,51,49,66,0,2,0,0,11,0,3,Good Standing,4,425,581,8218
081401040001,800000053934,OTSELIC VALLEY CENTRAL SCHOOL,95.5,95,49,0,1,30,0,0,2,1,0,1,2,0,97,0,17,50,50,57,0,0,0,0,33,0,6,Good Standing,4,313,882,15263
090301060006,800000053903,BEEKMANTOWN HIGH SCHOOL,88.9,93,39,4,1,55,3,0,4,0,0,2,2,1,95,0,18,44,56,49,0,2,0,0,5,100,2,Good Standing,5,585,1046,8323
100902040004,800000074834,GERMANTOWN JUNIOR-SENIOR HIGH SCHOOL,87.8,95,34,5,1,29,3,0,3,2,0,0,9,1,86,4,18,46,54,41,3,2,0,0,21,0,0,Good Standing,5,262,46,15966
110701060001,800000053623,HOMER SENIOR HIGH SCHOOL,94.2,95,33,5,1,53,3,1,12,1,0,1,1,1,95,2,14,46,54,40,0,1,0,0,9,0,0,Good Standing,5,608,430,15692
120102040001,800000053603,ANDES CENTRAL SCHOOL,93.9,94,49,12,1,17,1,0,5,0,0,1,8,0,89,1,29,48,52,61,0,0,1,0,6,0,18,Good Standing,5,75,2031,1828
120501040002,800000053568,DELAWARE ACADEMY HIGH SCHOOL,92.7,95,33,3,1,33,0,0,2,0,0,1,1,1,94,3,18,52,48,36,0,0,0,0,6,100,14,Good Standing,5,409,0,12285
121701040001,800000053492,STAMFORD CENTRAL SCHOOL,91.4,96,49,12,1,29,2,0,0,1,0,4,3,1,92,0,11,52,48,69,0,0,0,0,24,100,7,Good Standing,4,281,2174,13590
131500010010,800000053355,POUGHKEEPSIE HIGH SCHOOL,64.1,85,69,2,1,107,5,1,17,10,0,56,32,1,8,3,17,47,53,71,1,7,0,0,33,0,0,Targeted Support and Improvement,3,1144,631,17212
132101060016,800000058132,ORCHARD VIEW ALTERNATIVE HIGH SCHOOL,58.3,80,46,8,1,11,1,0,25,0,0,13,19,0,67,2,49,46,54,62,0,3,0,0,0,0,20,Good Standing,5,63,225,16315
140203060010,800000053056,WILLIAMSVILLE NORTH HIGH SCHOOL,93.6,95,17,2,2,120,6,1,4,1,0,4,4,10,78,3,13,49,51,21,0,0,0,0,8,50,0,Good Standing,5,1414,0,12640
140600010042,800000052948,PS 42 OCCUPATIONAL TRAINING CENTER,1.2,89,92,0,1,18,0,1,8,22,1,52,26,5,14,1,100,38,62,97,0,1,0,0,0,0,5,Good Standing,2,77,8,54867
140600010098,800000052924,MCKINLEY VOCATIONAL HIGH SCHOOL,82.6,87,81,0,1,98,0,1,20,12,1,56,19,11,12,2,18,44,56,83,0,1,0,0,8,0,13,Good Standing,2,1036,891,9971
140600010110,800000052900,SOUTH PARK HIGH SCHOOL,68.6,78,75,0,1,78,0,3,32,7,1,39,20,3,34,2,24,46,54,81,0,2,0,0,1,0,22,Targeted Support and Improvement,2,859,881,12000
140600010132,800000059688,MATH SCIENCE TECHNOLOGY PREPARATORY SCHOOL AT SENECA (THE),56,85,82,0,4,96,0,2,31,12,1,71,11,9,6,2,25,50,50,90,0,3,0,0,8,25,24,Comprehensive Support and Improvement,2,730,680,14411
140702030006,800000052332,MARYVALE HIGH SCHOOL,85.6,92,39,6,1,56,3,0,7,5,0,13,5,6,72,4,12,48,52,49,0,1,0,0,2,0,2,Good Standing,5,677,547,11849
140707030003,800000052302,DEPEW HIGH SCHOOL,94.1,93,34,7,1,55,4,0,4,1,1,3,3,3,88,2,14,49,51,42,0,0,0,1,2,0,0,Good Standing,5,556,386,14151
141201060001,800000052271,EDEN JUNIOR-SENIOR HIGH SCHOOL,95.6,96,21,3,2,66,4,0,2,0,1,1,1,1,95,2,17,52,48,25,0,0,0,0,8,50,5,Good Standing,5,749,278,0
141301060006,800000052245,IROQUOIS SENIOR HIGH SCHOOL,97.3,95,15,3,1,66,4,2,1,0,0,1,2,1,95,1,16,49,51,21,0,1,0,0,3,0,0,Good Standing,5,751,202,14848
